n,r,m
"(:Composition {property_unit: pC/N,composition: Ba0.84Sr0.16Ti0.92Zr0.08O3,property_value: 447})",[:BELONGS_TO],(:Family {name: BaTiO3})
"(:Composition {property_unit: pC/N,composition: Ba1.0Sr0Ti0.92Zr0.08O3,property_value: 1164})",[:BELONGS_TO],(:Family {name: BaTiO3})
"(:Composition {property_unit: pC/N,composition: Ba0.8Sr0.20Ti0.92Zr0.08O3})",[:BELONGS_TO],(:Family {name: BaTiO3})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USES_METHOD],(:Method {name: solid-state reaction})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_SYNTHESIS_STEPS],"(:Step {steps: - Dried carbonates at 120 °C for more than 2 h
- Mixed raw materials by ball-milling in ethanol
- Calcined powder mixture twice at 800 °C for 2 h
- Milled calcined powders for 12 h
- Pressed into disks with 12.7 mm diameter using PVA as binder
- Fired green compacts at 600 °C to remove PVA binder
- Sintered in ambient atmosphere at 1000–1020 °C for 2 h
- Mechanically polished sintered disks to ~0.35 mm thickness})"
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:BELONGS_TO_FAMILY],(:Family {name: BaTiO3})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: 0.725BiFe0.9975Sc0.0025O3-0.275BaTiO3})"
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: 0.725BiFe0.9925Sc0.0075O3-0.275BaTiO3})"
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: 0.725BiFe0.99Sc0.01O3-0.275BaTiO3,property_value: 163})"
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: 0.725BiFe0.985Sc0.015O3-0.275BaTiO3})"
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: 0.725BiFe0.995Sc0.005O3-0.275BaTiO3})"
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: 0.725BiFe0.98Sc0.02O3-0.275BaTiO3})"
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: 0.725BiFe1Sc0O3-0.275BaTiO3})"
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_PRECURSOR],(:Precursor {name: BaCO3})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_PRECURSOR],(:Precursor {name: TiO2})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_PRECURSOR],(:Precursor {name: Fe2O3})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_PRECURSOR],(:Precursor {name: Bi2O3})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_PRECURSOR],(:Precursor {name: Sc2O3})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: High-temperature resistivity test system})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Archimedes method})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Magnetic property measurement system})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: ME measurement system})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: XRD})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: SEM})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Raman spectroscopy})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Quasi-static d33 meter})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Impedance analyzer})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Berlincourt-type d33 meter})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Modified Sawyer-Tower circuit})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: UV spectrophotometer})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:HAS_KEYWORD],(:Keyword {name: Curie temperature})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:HAS_KEYWORD],(:Keyword {name: Magnetoelectric response})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:HAS_KEYWORD],(:Keyword {name: Piezoelectric properties})
"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})",[:HAS_KEYWORD],(:Keyword {name: Ferroelectric ceramics})
"(:Author {name: Yagang Qi,affiliation_id: 60133772})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: CAS Key Laboratory of Materials for Energy Conversion,affiliation_id: 60133772})"
"(:Author {name: Yagang Qi,affiliation_id: 60133772})",[:WROTE],"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})"
"(:Author {name: Baoju Xia,affiliation_id: 60133772})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: CAS Key Laboratory of Materials for Energy Conversion,affiliation_id: 60133772})"
"(:Author {name: Baoju Xia,affiliation_id: 60133772})",[:WROTE],"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})"
"(:Author {name: Xiongxin Guo,affiliation_id: 60133772})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: CAS Key Laboratory of Materials for Energy Conversion,affiliation_id: 60133772})"
"(:Author {name: Xiongxin Guo,affiliation_id: 60133772})",[:WROTE],"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})"
"(:Author {name: Baojin Chu,affiliation_id: 60133772})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: CAS Key Laboratory of Materials for Energy Conversion,affiliation_id: 60133772})"
"(:Author {name: Baojin Chu,affiliation_id: 60133772})",[:WROTE],"(:Paper {journal: Ceramics International,year: 2024,title: Enhanced magnetoelectric response in Sc-doped BiFeO3-BaTiO3 Ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.103})"
"(:Composition {property_unit: pC/N,composition: 0.725BiFe0.9975Sc0.0025O3-0.275BaTiO3})",[:BELONGS_TO],(:Family {name: BaTiO3})
"(:Composition {property_unit: pC/N,composition: 0.725BiFe0.9925Sc0.0075O3-0.275BaTiO3})",[:BELONGS_TO],(:Family {name: BaTiO3})
"(:Composition {property_unit: pC/N,composition: 0.725BiFe0.99Sc0.01O3-0.275BaTiO3,property_value: 163})",[:BELONGS_TO],(:Family {name: BaTiO3})
"(:Composition {property_unit: pC/N,composition: 0.725BiFe0.985Sc0.015O3-0.275BaTiO3})",[:BELONGS_TO],(:Family {name: BaTiO3})
"(:Composition {property_unit: pC/N,composition: 0.725BiFe0.995Sc0.005O3-0.275BaTiO3})",[:BELONGS_TO],(:Family {name: BaTiO3})
"(:Composition {property_unit: pC/N,composition: 0.725BiFe0.98Sc0.02O3-0.275BaTiO3})",[:BELONGS_TO],(:Family {name: BaTiO3})
"(:Composition {property_unit: pC/N,composition: 0.725BiFe1Sc0O3-0.275BaTiO3})",[:BELONGS_TO],(:Family {name: BaTiO3})
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:USES_METHOD],(:Method {name: SSCG})
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:USED_SYNTHESIS_STEPS],"(:Step {steps: - The as-grown single crystals were oriented by the rotating XRD method
- [001]-oriented square slices were cut with size 4 × 4 × 0.8 mm³
- A layer of Ni was covered on the (001) plane crystal slices
- Au electrode was sputtered on the crystal slices for poling and subsequently electrical performance measurement
- All samples were annealed at 600 °C for 10 h and then air-cooled to room temperature
- Samples were placed at room temperature for 2 days to completely release the internal stress
- During the DCP procedure, samples were poled at different electric field with dwelling 5 min at 25 °C
- For the ACP procedure, the ACP signal was generated by a Function Generator and amplified by a high-voltage amplifier
- The symmetry triangular wave was chosen to study the influence of other poling conditions on performance during the ACP procedure
- The electrical performance was measured 24 h after poling})"
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:BELONGS_TO_FAMILY],(:Family {name: PSN-PMN-PT})
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: 0.74Pb(Mg1/3Nb2/3)O3-0.26PbTiO3,property_value: 1780})"
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: 0.74Pb(Mg1/3Nb2/3)O3-0.26PbTiO3 (DCP),property_value: 1250})"
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: XRD})
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Impedance analyzer})
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Berlincourt-type d33 meter})
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: PFM})
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:HAS_KEYWORD],(:Keyword {name: XRD})
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:HAS_KEYWORD],(:Keyword {name: Poling})
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:HAS_KEYWORD],(:Keyword {name: Domain structure})
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:HAS_KEYWORD],(:Keyword {name: Low frequency alternating current poling})
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:HAS_KEYWORD],(:Keyword {name: Frequency dependence})
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:HAS_KEYWORD],(:Keyword {name: Piezoelectric properties})
"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})",[:HAS_KEYWORD],(:Keyword {name: PSN-PMN-PT})
"(:Author {name: Xiyue Ding,affiliation_id: 60104429})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Changzhou University,affiliation_id: 60104429})"
"(:Author {name: Xiyue Ding,affiliation_id: 60104429})",[:WROTE],"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})"
"(:Author {name: Bijun Fang,affiliation_id: 60104429})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Changzhou University,affiliation_id: 60104429})"
"(:Author {name: Bijun Fang,affiliation_id: 60104429})",[:WROTE],"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})"
"(:Author {name: Jilei Li,affiliation_id: 60104429})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Changzhou University,affiliation_id: 60104429})"
"(:Author {name: Jilei Li,affiliation_id: 60104429})",[:WROTE],"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})"
"(:Author {name: Tingyu Deng,affiliation_id: 60020044})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Shanghai Institute of Ceramics, Chinese Academy of Sciences,affiliation_id: 60020044})"
"(:Author {name: Tingyu Deng,affiliation_id: 60020044})",[:WROTE],"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})"
"(:Author {name: Jie Jiao,affiliation_id: 60020044})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Shanghai Institute of Ceramics, Chinese Academy of Sciences,affiliation_id: 60020044})"
"(:Author {name: Jie Jiao,affiliation_id: 60020044})",[:WROTE],"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})"
"(:Author {name: Wenning Di,affiliation_id: 60020044})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Shanghai Institute of Ceramics, Chinese Academy of Sciences,affiliation_id: 60020044})"
"(:Author {name: Wenning Di,affiliation_id: 60020044})",[:WROTE],"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})"
"(:Author {name: Li Lu,affiliation_id: 60020044})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Shanghai Institute of Ceramics, Chinese Academy of Sciences,affiliation_id: 60020044})"
"(:Author {name: Li Lu,affiliation_id: 60020044})",[:WROTE],"(:Paper {journal: Solid State Communications,year: 2024,title: Improving piezoelectric performance in PMN-0.26 PT single crystal via low frequency AC poling,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115714})"
"(:Composition {property_unit: pC/N,composition: 0.74Pb(Mg1/3Nb2/3)O3-0.26PbTiO3,property_value: 1780})",[:BELONGS_TO],(:Family {name: PSN-PMN-PT})
"(:Composition {property_unit: pC/N,composition: 0.74Pb(Mg1/3Nb2/3)O3-0.26PbTiO3 (DCP),property_value: 1250})",[:BELONGS_TO],(:Family {name: PSN-PMN-PT})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:USES_METHOD],"(:Method {name: Screen printing, DC sputtering, Diffusion bonding})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:USED_SYNTHESIS_STEPS],"(:Step {steps: - Substrates cleaned in ultrasonic baths: 5 minutes in Decon neutracon solvent, 5 minutes in WashBryte solvent, 5 minutes in DI water
- Substrates dried under N2 flow and loaded into deposition system under residual pressure around 10E-7 mbar
- Al target cleaned in pure Ar (30 sccm) at 300 W for 10 min
- 5 min in Ar/N2 plasma to reach stable reactive conditions
- Deposition using magnetron powers of 70 and 400 W, and Ar & N2 flows of 20 and 40 sccm})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:BELONGS_TO_FAMILY],(:Family {name: AlN})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: AlN (S1: 400 W, 20:40 Ar:N2),property_value: 5.0})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: AlN (S3: 400 W, 40:40 Ar:N2),property_value: 4.5})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: AlN (S2: 400 W, 40:20 Ar:N2),property_value: 4.5})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:USED_PRECURSOR],(:Precursor {name: N2})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:USED_PRECURSOR],(:Precursor {name: KCl})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: XRD})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Berlincourt-type d33 meter})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: PFM})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:HAS_KEYWORD],(:Keyword {name: HAADF-STEM})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:HAS_KEYWORD],(:Keyword {name: Vapor deposition})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:HAS_KEYWORD],(:Keyword {name: Piezoelectric properties})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:HAS_KEYWORD],(:Keyword {name: Bismuth})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})",[:HAS_KEYWORD],(:Keyword {name: Microstructure})
"(:Author {name: Lucía Nieto Sierra,affiliation_id: 60016476})",[:AFFILIATED_WITH],"(:Affiliation {country: Spain,name: Universidad de Cádiz,affiliation_id: 60016476})"
"(:Author {name: Lucía Nieto Sierra,affiliation_id: 60016476})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})"
"(:Author {name: Fernando Lloret,affiliation_id: 60016476})",[:AFFILIATED_WITH],"(:Affiliation {country: Spain,name: Universidad de Cádiz,affiliation_id: 60016476})"
"(:Author {name: Fernando Lloret,affiliation_id: 60016476})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})"
"(:Author {name: Juan Jesús Gallardo,affiliation_id: 60016476})",[:AFFILIATED_WITH],"(:Affiliation {country: Spain,name: Universidad de Cádiz,affiliation_id: 60016476})"
"(:Author {name: Juan Jesús Gallardo,affiliation_id: 60016476})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})"
"(:Author {name: Carlos García Núñez,affiliation_id: 60097343})",[:AFFILIATED_WITH],"(:Affiliation {country: United Kingdom,name: University of the West of Scotland,affiliation_id: 60097343})"
"(:Author {name: Carlos García Núñez,affiliation_id: 60097343})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})"
"(:Author {name: Manuel Pelayo García,affiliation_id: 60097343})",[:AFFILIATED_WITH],"(:Affiliation {country: United Kingdom,name: University of the West of Scotland,affiliation_id: 60097343})"
"(:Author {name: Manuel Pelayo García,affiliation_id: 60097343})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})"
"(:Author {name: Gonzalo Alba,affiliation_id: 60016476})",[:AFFILIATED_WITH],"(:Affiliation {country: Spain,name: Universidad de Cádiz,affiliation_id: 60016476})"
